Month Start,Mean Temperature
1970-08-01 00:00:00,8.64
1970-09-01 00:00:00,9.62
1970-10-01 00:00:00,11.44
1970-11-01 00:00:00,13.36
1970-12-01 00:00:00,15.08
1971-01-01 00:00:00,16.55
1971-02-01 00:00:00,17.11
1971-03-01 00:00:00,15.10
1971-04-01 00:00:00,12.78
1971-05-01 00:00:00,10.68
1971-06-01 00:00:00,9.19
1971-07-01 00:00:00,6.62
1971-08-01 00:00:00,8.66
1971-09-01 00:00:00,9.83
1971-10-01 00:00:00,11.02
1971-11-01 00:00:00,12.84
1971-12-01 00:00:00,15.27
1972-01-01 00:00:00,15.18
1972-02-01 00:00:00,15.18
1972-03-01 00:00:00,15.82
1972-04-01 00:00:00,12.59
1972-05-01 00:00:00,9.73
1972-06-01 00:00:00,6.36
1972-07-01 00:00:00,7.18
1972-08-01 00:00:00,6.84
1972-09-01 00:00:00,10.01
1972-10-01 00:00:00,11.34
1972-11-01 00:00:00,14.00
1972-12-01 00:00:00,13.37
1973-01-01 00:00:00,15.53
1973-02-01 00:00:00,15.87
1973-03-01 00:00:00,15.11
1973-04-01 00:00:00,12.38
1973-05-01 00:00:00,10.18
1973-06-01 00:00:00,8.21
1973-07-01 00:00:00,6.19
1973-08-01 00:00:00,7.99
1973-09-01 00:00:00,10.39
1973-10-01 00:00:00,11.38
1973-11-01 00:00:00,13.43
1973-12-01 00:00:00,14.94
1974-01-01 00:00:00,15.20
1974-02-01 00:00:00,17.54
1974-03-01 00:00:00,13.99
1974-04-01 00:00:00,12.74
1974-05-01 00:00:00,10.26
1974-06-01 00:00:00,7.43
1974-07-01 00:00:00,7.78
1974-08-01 00:00:00,7.37
1974-09-01 00:00:00,10.16
1974-10-01 00:00:00,10.98
1974-11-01 00:00:00,13.77
1974-12-01 00:00:00,15.98
1975-01-01 00:00:00,17.15
1975-02-01 00:00:00,16.80
1975-03-01 00:00:00,16.12
1975-04-01 00:00:00,13.07
1975-05-01 00:00:00,10.64
1975-06-01 00:00:00,6.92
1975-07-01 00:00:00,6.63
1975-08-01 00:00:00,8.24
1975-09-01 00:00:00,9.65
1975-10-01 00:00:00,11.19
1975-11-01 00:00:00,12.40
1975-12-01 00:00:00,13.64
